D:\New folder\game\IMG\center_2019_12_29_22_59_37_391.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_391.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_391.jpg,0,0,0,2.266892E-06
D:\New folder\game\IMG\center_2019_12_29_22_59_37_482.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_482.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_482.jpg,0,0,0,1.1542E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_37_567.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_567.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_567.jpg,0,0,0,2.621235E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_37_657.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_657.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_657.jpg,0,0,0,2.57495E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_37_751.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_751.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_751.jpg,0,0,0,7.324659E-06
D:\New folder\game\IMG\center_2019_12_29_22_59_37_839.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_839.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_839.jpg,0,0,0,1.493731E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_37_928.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_37_928.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_37_928.jpg,0,0,0,1.989224E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_022.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_022.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_022.jpg,0,0,0,2.385169E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_104.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_104.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_104.jpg,0,0,0,1.879728E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_196.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_196.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_196.jpg,0,0,0,1.584194E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_290.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_290.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_290.jpg,0,0,0,1.703015E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_372.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_372.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_372.jpg,0,0,0,1.05136E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_463.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_463.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_463.jpg,0,0,0,1.117591E-05
D:\New folder\game\IMG\center_2019_12_29_22_59_38_561.jpg,D:\New folder\game\IMG\left_2019_12_29_22_59_38_561.jpg,D:\New folder\game\IMG\right_2019_12_29_22_59_38_561.jpg,-0.2,0,0,9.421973E-06
